institution,location,country,website,status
University Of Bahr El Ghazal,Khartoum,South Sudan,https://ubg.university,Full Member
University Of Bahri,Khartoum,Sudan,https://bahri.edu.sd,Full Member
University Of Bakht Er Ruda,Ed Dueim,Sudan,http://www.bakhtalruda.edu,Full Member
University Of Bamenda,Bamenda,Cameroun,http://uniba.cm,Full Member
University Of Benin,Benin City,Nigeria,http://www.uniben.edu,Full Member
University Of Botswana,Gaborone,Botswana,http://www.ub.bw,Full Member
University Of Buea,Buea,Cameroun,https://www.ubuea.cm,Full Member
University Of Calabar,Calabar,Nigeria,http://www.unical.edu.ng/,Full Member
University Of Cape Coast,Cape Coast,Ghana,http://www.ucc.edu.gh,Full Member
University Of Cape Town,Rondesbosch 7701,South Africa,http://www.uct.ac.za,Full Member
University Of Dalanj,Dalanj,Sudan,http://www.dalanjuniversity.edu.sd,Full Member
University Of Dar Es Salaam,Dar Es Salaam 022,Tanzania,http://www.udsm.ac.tz,Full Member
University Of Dodoma,Dodoma,Tanzania,https://www.udom.ac.tz,Full Member
"University Of Education, Winneba",Winneba,Ghana,http://www.uew.edu.gh,Full Member
University Of Eldoret,Eldoret ,Kenya, http://uoeld.ac.ke,Full Member
University Of Energy And Natural Resources,Sunyani,Ghana,https://uenr.edu.gh,Full Member
University Of Eswatini,Kwaluseni M201,Eswatini,http://www.uniswa.sz/,Full Member
University Of Fort Hare,Alice,South Africa,http://www.ufh.ac.za,Full Member
University Of Garyounis,Benghazi,Libya,http://www.garyounis.edu,Full Member
University Of Gezira,2667 Khartoum,Sudan,http://uofg.edu.sd/,Full Member
University Of Ghana,"Legon, Accra",Ghana,http://www.ug.edu.gh,Full Member
University Of Global Health Equity,Kagali,Rwanda,ughe.org,Full Member
University Of Hargeisa,Hargesia,Somalia,http://huniversity.net/,Full Member
University Of Health And Allied Sciences,Ho,Ghana,https://www.uhas.edu.gh,Full Member
University Of Ibadan,Ibadan,Nigeria,http://www.ui.edu.ng,Full Member
University Of Ilorin,Ilorin,Nigeria,http://www.unilorin.edu.ng/index.php/en/,Full Member
University Of Johannesburg,Auckland Park 2006,South Africa,http://www.uj.ac.za,Full Member
