,institution,location,country,website,status,point,latitude,longitude,altitude,geometry
201,Muslim University Of Morogoro,"MAFISA Morogoro TZ TZ TZ TZ, Morogoro 1031, Tanzania",Tanzania,http://www.mum.ac.tz/,Full Member,"(-6.8277556, 37.6591144, 0.0)",-6.8277556,37.6591144,0,POINT (37.6591144 -6.8277556)
202,Mzumbe University,"Mzumbe University, Magorofani Street, Tanzania",Tanzania,https://site.mzumbe.ac.tz,Full Member,"(-6.917023299999999, 37.5707376, 0.0)",-6.9170233,37.5707376,0,POINT (37.5707376 -6.917023299999999)
203,Namibia University Of Science And Technology,"13 Jackson Kaujeua Street, Windhoek, Namibia",Namibia,https://www.nust.na/,Full Member,"(-22.565785, 17.0773438, 0.0)",-22.565785,17.0773438,0,POINT (17.0773438 -22.565785)
204,"Nasarawa State University, Keffi","NASARAWA STATE UNIVERSITY, 911019, Keffi, Nasarawa, Nigeria",Nigeria,http://www.nsukonline.net/,Full Member,"(8.8471213, 7.8776023, 0.0)",8.8471213,7.8776023,0,POINT (7.8776023 8.8471213)
205,National Institute Of Public Administration (nipa),,Zambia,https://www.nipa.ac.zm,Full Member,"(-14.1934556,27.1518295,0.0)",-14.1934556,27.1518295,0,POINT (27.1518295 -14.1934556)
206,National Open University Of Nigeria,"Idumota, 14, 16 Ahmadu Bello Way, Victoria Island 106104, Lagos, Nigeria",Nigeria,http://www. Nou.edu.ng,Full Member,"(6.4343467, 3.4095367, 0.0)",6.4343467,3.4095367,0,POINT (3.4095367 6.4343467)
207,National University Of Lesotho,"P.O. Roma 180. Roma, Lesotho, Roma, Lesotho",Lesotho,http://www.nul.ls,Full Member,"(-29.4512856, 27.7206302, 0.0)",-29.4512856,27.7206302,0,POINT (27.7206302 -29.4512856)
208,National University Of Science And Technology,,Zimbabwe,http://www.nust.ac.zw/,Full Member,"(-18.9972177,29.1782862,0.0)",-18.9972177,29.1782862,0,POINT (29.1782862 -18.9972177)
209,National University Sudan,"GHGQ+9HP, Air St, Al Khurtum, Sudan",Sudan,https://nu.edu.sd/,Full Member,"(15.525956, 32.5889619, 0.0)",15.525956,32.5889619,0,POINT (32.5889619 15.525956)
210,Ndejje University,"Ndejje Hill Along Ndejje Road, Off Bombo Town, Kampala - Gulu highway, Uganda",Uganda,https://www.ndejjeuniversity.ac.ug/,Full Member,"(0.6124352, 32.4762159, 0.0)",0.6124352,32.4762159,0,POINT (32.4762159 0.6124352)
211,Nelson Mandela University,"University Way, Summerstrand, Gqeberha, 6019, South Africa",South Africa,https://www.mandela.ac.za/,Full Member,"(-34.00099420000001, 25.6714865, 0.0)",-34.0009942,25.6714865,0,POINT (25.6714865 -34.00099420000001)
